course_code,title,credits,type_name,objective,teaching_methods,content,learning_material,teaching_method,qualifications,employer_connections,exam_schedule,international_connections,workload,content_scheduling,course_information,further_information,evaluation_scale,unit_title,teaching_method_online,teaching_method_contact,min_seats,max_seats
ZZPP0420-3182,ICT-valmiudet,3.0,Realization,"The objectives of the course
Upon completion of this course you know how to use information and communication technology with your studies. You have a basic knowledge of immaterial rights, information security, data privacy and their impact on your studies and work life. You can use the office software such as word processing, presentation graphics and spreadsheet calculating diversely. You can participate and create network meeting and use the teamwork tools.

Course competences
Ethics
Operating in a workplace
Business competence

The learning objectives of the course
You have basic knowledge of immaterial rights, information security, data privacy and their impact on your studies and work life. You can use the office software such as word processing, presentation graphics and spreadsheet calculating diversely.","Opiskelet itsenäisesti käyttämällä Zoom - sovellusta. Osallistut mahdollisuuksiesi mukaan etäkontakteihin ja/tai Kontaktit ovat webinaareja, jolloin voit saada opastusta oman tietolaitteen käyttöön. Mac - laitteiden käyttäjät joutuvat etsimään tietoa melko itsenäisti.

Teet etäkontaktien välillä itsenäisesti harjoitustehtäviä. 

Opintojakson aikana voit tehdä itsellesi ICT - taitojen käsikirjan, jota voit hyödyntää opinnoissa ja muissa tehtävissä. Etsit tietoa netistä, teet harjoitustehtäviä tai mahdollisesti ryhmätehtäviä.","In Basics of ICT module you will study the basic concepts of information and communication technology. You will also study basic concepts of immaterial rights, ergonomics, the environmental impact of ICT and Microsoft Teams as a communication and cooperative tool.
In Word Processing module you will study the key functions of word processing software to enable drawing up of documents conforming to document standard and reports conforming to the JUAS reporting instructions. 
In Spreadsheet module you will study the software key operations, most common functions and charts and their practical usage.
In Presentation graphics module you will study how to use a presentation graphics software to prepare a high-quality presentation. You will also study how to control and edit the presentation by using the master slides.

The course may also include on a degree program specific basis other key information technology sectors required for field-specific skills.","Hyödynnät netin materiaaleja, Ms Office - oppaita ja opintojakson työtilan videoita ja ohjeita. Voit laatia itsellesi oman it-taitojen käsikirjan.",Online,-,,Opintojaksolla ei ole tenttiä. Vapaaehtoinen alkukoe on etänä torstaina 21.9.2023 klo 16.,,"Kontakteja 16 tuntia, itsenäisiä tehtäviä ja harjoituksia 65 tuntia. Työtä yhteensä 81 tuntia.","Noin joka toinen viikko on etäkontaktit, joiden välisenä aikana teet itsenäisesti harjoitustehtäviä ja -töitä.","The course can be accredited if the previous course is completed in JUAS within the last 3 years. The excerpt of the study card must be included with the accreditation documents. The documents and the instructions are available on JUAS For students web pages.

If the student have no prior credits or degree directly from JUAS, the student will also create the JUAS reporting model in addition with the accreditation documents. Also the student will include a separate document formatted according to the SFS2487 standard document covering the description of the content of the previous ICT course/courses. This is done in order to verify the content of the previous course/courses.",Hyväksytyn suorituksen saadakseen opiskelijan on palautettava sovittu määrä ja riittävän hyvin tehtyjä harjoitustehtäviä ja -töitä. Asiasta tiedotetaan opintojakson aikana.,Pass/Fail,School of Health and Social Studies,3.0,0.0,0.0,60.0
ZZPP0420-3183,ICT-valmiudet,3.0,Realization,"The objectives of the course
Upon completion of this course you know how to use information and communication technology with your studies. You have a basic knowledge of immaterial rights, information security, data privacy and their impact on your studies and work life. You can use the office software such as word processing, presentation graphics and spreadsheet calculating diversely. You can participate and create network meeting and use the teamwork tools.

Course competences
Ethics
Operating in a workplace
Business competence

The learning objectives of the course
You have basic knowledge of immaterial rights, information security, data privacy and their impact on your studies and work life. You can use the office software such as word processing, presentation graphics and spreadsheet calculating diversely.","Opiskelet itsenäisesti käyttämällä Zoom - sovellusta. Osallistut mahdollisuuksiesi mukaan etäkontakteihin ja/tai Kontaktit ovat webinaareja, jolloin voit saada opastusta oman tietolaitteen käyttöön. Mac - laitteiden käyttäjät joutuvat etsimään tietoa melko itsenäisti.

Teet etäkontaktien välillä itsenäisesti harjoitustehtäviä. 

Opintojakson aikana voit tehdä itsellesi ICT - taitojen käsikirjan, jota voit hyödyntää opinnoissa ja muissa tehtävissä. Etsit tietoa netistä, teet harjoitustehtäviä tai mahdollisesti ryhmätehtäviä.","In Basics of ICT module you will study the basic concepts of information and communication technology. You will also study basic concepts of immaterial rights, ergonomics, the environmental impact of ICT and Microsoft Teams as a communication and cooperative tool.
In Word Processing module you will study the key functions of word processing software to enable drawing up of documents conforming to document standard and reports conforming to the JUAS reporting instructions. 
In Spreadsheet module you will study the software key operations, most common functions and charts and their practical usage.
In Presentation graphics module you will study how to use a presentation graphics software to prepare a high-quality presentation. You will also study how to control and edit the presentation by using the master slides.

The course may also include on a degree program specific basis other key information technology sectors required for field-specific skills.","Hyödynnät netin materiaaleja, Ms Office - oppaita ja opintojakson työtilan videoita ja ohjeita. Voit laatia itsellesi oman it-taitojen käsikirjan.",Online,-,,Opintojaksolla ei ole tenttiä. Vapaaehtoinen alkukoe on etänä torstaina 21.9.2023 klo 16.,,"Kontakteja 16 tuntia, itsenäisiä tehtäviä ja harjoituksia 65 tuntia. Työtä yhteensä 81 tuntia.","Noin joka toinen viikko on etäkontaktit, joiden välisenä aikana teet itsenäisesti harjoitustehtäviä ja -töitä.","The course can be accredited if the previous course is completed in JUAS within the last 3 years. The excerpt of the study card must be included with the accreditation documents. The documents and the instructions are available on JUAS For students web pages.

If the student have no prior credits or degree directly from JUAS, the student will also create the JUAS reporting model in addition with the accreditation documents. Also the student will include a separate document formatted according to the SFS2487 standard document covering the description of the content of the previous ICT course/courses. This is done in order to verify the content of the previous course/courses.",Hyväksytyn suorituksen saadakseen opiskelijan on palautettava sovittu määrä ja riittävän hyvin tehtyjä harjoitustehtäviä ja -töitä. Asiasta tiedotetaan opintojakson aikana.,Pass/Fail,School of Health and Social Studies,3.0,0.0,0.0,55.0
TTC8850-3004,Future IoT Technologies,5.0,Realization,"Course objectives
In the course, you will learn how to use advanced new technologies, such as artificial intelligence, in the implementation of IoT systems. You get to know different neural networks and understand their basic parameters.

Competences:
EUR-ACE Knowledge and Understanding
EUR-ACE Engineering Practice


You know the architectures of neural networks and understand their application areas. You know how to make a Q-table of basic neural network design and implementation in practice. You know what the RL agent does and you know how to train the agent to make it work optimally. You understand the difference between On-Policy and Off-Policy algorithms and know how to use information to select an algorithm.",,"Comparison of neural networks (RL, Supervised, Unsupervised )
Keras, Pytorch and other algorithm-based neural networks
RL agent and environment
Exploitation and exploration
Reward and hyperparameters
Basic neuromath and activation functions
Policy gradient method and value based learning
Bellman equation and its demo (Q-learning)
Pytorch, PPO algorithm and demo",,Contact,Johdanto IoT-järjestelmiin,,,,,,,,0-5,School of Technology,0.0,5.0,0.0,35.0
TTC8020-3008,Data-Analysis and Machine Learning Basics,4.0,Realization,"You understand the practices of data analytics and machine learning and the structure and flow of the project. You understand how a data-based project is designed, built and implemented. You will also recognize the key terminology and most common practices of data-based projects. You understand the importance of data visualization. You know the concepts of the teaching and test dataset and the most common ways of splitting them. You will get basic information about the data analytics and machine learning tools used.

EUR-ACE Competences:
Knowledge and Understanding
Engineering Practice",Virtual study including doing assignments and familiarizing yourself with related lecture and example materials. Assignments are mainly done as group work.,"- Structure and implementation of a data-based project
- Data analytics and machine learning practices
- The concepts of the teaching and test data set and the most common ways of splitting them
- Documentation and visualization of the data-based project
- Introduction to data analytics and machine learning's most common tools and practical skills needed",Materiaali harjoitustehtäviä ja opiskeltavia asiasisältöjä varten jaetaan kurssin aikana.,Online,,The aim is to connect the content of the course to problems that occur in working life.,,,The workload of one credit corresponds to 27 hours of study. The total amount of study work (4 ECTS) in the course is 108 hours.,,,"The course is evaluated on the basis of the assignments, which must be returned by the given timetables.
The assessment methods are reviewed at the beginning of the course.",0-5,School of Technology,4.0,0.0,0.0,30.0
TTC1060-3029,Digital Technology and Hardware,5.0,Realization,"After taking this course, you will understand the function and importance of digital reading systems as part of an information system. You know the basic concepts of logical design and can apply the state machine principle to practical problems.

EUR-ACE: Knowledge and understanding
EUR-ACE: Engineering practice 

Competences:
You know the basic concepts of digital technology and know how to use them in programming and logic design. You can break up large entities into pieces that can be easily implemented with state machine techniques. You understand the essential basic functions of the processor, memories and peripherals and know how to make simple programs for embedded systems.",,"Number systems
- binary number
- floating point number
- fixed point number

Basics in Boolean algebra
- coupling function
- minimization of coupling

Sequential logic
- Eccless-Jordan circuit
- State machine

Memories
- memory types
- memory architecture
- characteristics of memory

Processor structure
- registers
- arithmetic unit
- control part

Basics of micro controller
- peripheral devices
- programming",,Contact,,,,,,,,,0-5,School of Technology,0.0,5.0,20.0,35.0
TTHA0120-3004,Advancement Professional Training,15.0,Realization,"You strengthen the key professional skills of your orientation, expanding your understanding of practical work tasks. In addition, you will master general working life skills and know how to evaluate your own professional skills and abilities.

Competences:
EUR-ACE: Multidisciplinary competences
EUR-ACE: Engineering practice
EUR-ACE: Communication and team-working",,"The precise contents of the practical training depend on the placement. In addition to professional learning, the student gains general working life skills as well as organizational skills and skills needed for functioning in the society.",,Contact,The student must have sufficient competence in relation with the objecktives defined in the practical training plan.,,,,,,,,Pass/Fail,School of Technology,0.0,15.0,20.0,300.0
TTHA0100-3003,Practical Training,30.0,Realization,"Course objectives
In a guided way, you will familiarize yourself with the tasks that are central to your degree. At the same time, you will learn to analyze areas for development in working life.

In the internship, you will familiarize yourself with the practical tasks that are central to professional studies and develop skills for your future career. In addition, you will learn general working life skills and gain experience to develop into a professional expert.

Competences:
EUR-ACE: Multidisciplinary competences 
EUR-ACE: Engineering practice 
EUR-ACE: Communication and team-working ",,"The specific contents of the practical training depend on the placement venue. In addition to professional competence, the core contents promote general working life skills as well as organizational and social skills.",,Contact,-,,,,,,,,Pass/Fail,School of Technology,0.0,30.0,20.0,900.0
TTHA0120-3005,Advancement Professional Training,15.0,Realization,"You strengthen the key professional skills of your orientation, expanding your understanding of practical work tasks. In addition, you will master general working life skills and know how to evaluate your own professional skills and abilities.

Competences:
EUR-ACE: Multidisciplinary competences
EUR-ACE: Engineering practice
EUR-ACE: Communication and team-working",,"The precise contents of the practical training depend on the placement. In addition to professional learning, the student gains general working life skills as well as organizational skills and skills needed for functioning in the society.",,Contact,The student must have sufficient competence in relation with the objecktives defined in the practical training plan.,,,,,,,,Pass/Fail,School of Technology,0.0,15.0,0.0,200.0
ZZPC0220-3220,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","This course requires weekly classroom attendance on Thursdays at 13.15 - 15.45 . The contact sessions are not lectures but an opportunity for you to be actively engaged with the material via small group discussions and activities. For this reason, the sessions will not be recorded and there is a minimum attendance rate of 80%.

The course grade will be calculated as follows:
30 % Major task: Spoken exam in the form of a Town Hall Meeting
30 % Major task: Written exam: C.V., Diplomatic email and Letter of Application
30% Major task: Project carried out with partner(s)
10 % Continuous Demonstration of skills – this part of the grade includes active attendance and completion of minor tasks.
All of the requirements above must be completed at a satisfactorily level to receive a grade for the course.","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions",,Contact,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,,,,,,,0-5,TA94 - Kielikeskus,0.0,4.0,12.0,30.0
HBIETE02-3005,Creating Careers,1.0,Realization,"After the course you are able to do the following: 
- Recognize the practices and rules of Finnish working life  
- Recognize one’s own skills and describe them to others  
- Manage the job-seeking process from writing job applications to job interviews  
- See entrepreneurship as an employment opportunity.   

The achievement of those learning objectives may vary according to the lectures you select from the course program. The info sessions happen at Jyväskylä University but JAMK students are also welcome to join.","Online lectures, nonstop implementation. Timetable provided by Anu Ojala, University of Jyväskylä. 

Jamk students participating in the University of Jyväskylä courses need to register as EduFutura students. 
Fill in the EduFutura study right application form here: https://www.jyu.fi/edufutura-haku/edufutura-in-english 

Instructions for the form:
1.	In the Course –field, choose: Creating Careers
2.	Leave the Module –field empty
3.	Fill in the rest of the study and contact information fields
4.	Submit the form.
 
After you have submitted the EduFutura Application Form:
5.	You will receive an email confirming your study right and prompting you to register/activate your University of Jyväskylä user account. The processing time of the applications is about a week.
6.	After you have activated your University of Jyväskylä user account you will be able to enroll to Creating Careers course in Sisu here: https://sisu.jyu.fi/student/courseunit/otm-8316d3a4-0c54-45d4-a44e-f98b7659012d/brochure

If you have any questions related to the EduFutura study right application or registration process above, please, do not hesitate to contact anu.m.ojala@jyu.fi","Better understanding of the mechanisms of modern working life and developing knowledge and skills required when searching for work. The course gives basic information on employment, search for work and working life. The themes of the lectures include, for example, the Finnish working culture, internship, employment and self-employment, writing of a CV and understanding your own competences. You can select lectures from the course program according to personal interests.",,Online,No requirements for preliminary competence. The course is suitable as part of other optional studies for all international students.,,No exams. Just lectures and a personal written assignment.,,,,"Jamk students participating in the University of Jyväskylä courses need to register as EduFutura students. 
Fill in the EduFutura study right application form here: https://www.jyu.fi/edufutura-haku/edufutura-in-english 

Instructions for the form:
1.	In the Course –field, choose: Creating Careers
2.	Leave the Module –field empty
3.	Fill in the rest of the study and contact information fields
4.	Submit the form.
 
After you have submitted the EduFutura Application Form:
5.	You will receive an email confirming your study right and prompting you to register/activate your University of Jyväskylä user account. The processing time of the applications is about a week.
6.	After you have activated your University of Jyväskylä user account you will be able to enroll to Creating Careers course in Sisu here: https://sisu.jyu.fi/student/courseunit/otm-8316d3a4-0c54-45d4-a44e-f98b7659012d/brochure

If you have any questions related to the EduFutura study right application or registration process above, please, do not hesitate to contact me (anu.m.ojala@jyu.fi).",,Pass/Fail,School of Business,1.0,0.0,0.0,0.0
ZZPC0220-3186,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","Monimuotototeutus 12.1.-2.5.2024

Tämä toteutus on tarkoitettu ensisijaisesti agrologiopiskelijoille. 

Kontaktitunnit pidetään Tarvaalan biokampuksella. 
Kontaktitunnit ovat 
pe 12.1. klo 12.30-15.45 (L118)
pe 23.2. klo 12.30-15.45 (L118)
pe 19.4. klo 8.15-11.45 (L118)
to 2.5. klo 12.30-15.45 (L118)

Opintojaksolla tehdään kirjallisia ja suullisia tehtäviä sekä ohjatusti että itsenäisesti.
Kontaktitunneilla tehtävät tehdään yksilö-, pari- ja ryhmätyöskentelynä.

Opintojaksoon kuuluu myös itsenäistä työskentelyä etäjaksojen aikana.

Opintojaksoon sisältyy muutama arvioitava kirjallinen ja suullinen palautustehtävä.





 
 ","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions",Opintojaksolla on käytössä Moodle-oppimisympäristö ja opettajan laatima materiaali.,Contact,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,"Opintojakson lopussa on kirjallinen ja suullinen tentti. 
Tentit ovat viimeisellä kokoontumiskerralla  tai erikseen sovittuna ajankohtana.

Tenteissä uusintamahdollisuus erikseen sovittuna ajankohtana.",,Opintojakson laajuus on 4 op (108 tuntia opiskelijan työtä),,,,0-5,TA16 - Biotalousinstituutti,0.0,4.0,0.0,0.0
HTGP0080-3005,Computing Infrastructure,3.0,Realization,"The object of the course
Basic knowledge of the computing infrastructure is essential for all computer science students. Do you want to understand the basic functions of computer hardware, client computers, server computers and the computing network. Do you know  know how modern cloud computing infrastructure works? After completing this course, you have basic knowledge of the computing infrastructure.

Course competences
Systems and methods in ICT
Learning and information management competence

The learning objectives of the course
The student knows how computer hardware works, what are the basic components of the computing infrasturucture and how they work together. The student can build a small computing network for demonstration purposes and understands the basic security risks in the computing infrastructure.","- Lectures
- Reverse classroom on some weeks
- Face-to-face learning via labs & demos
- Exercises with actual infrastructure in live environments","Computer hardware
Components of the computing infrastructure
Computing network
Cloud computing infrastructure and basics of the cyber security.","- Teachers materials and slides
- AWS Academy slides
- Networking: The Complete Reference, Third Edition"" by Bobbi Sandberg",Contact,-,,Will be communicated at the first contact lesson of the course. Approximate date is on week 10. Two exam retake chances approximately on three week intervals after the initial one.,,"One credit corresponds to an average of 27 hours of work, which means that the load of three credits is approximately 80 hours.

- Contact lessons and lab work: 40h
- Individual work and exercises: 40h","Start of the course will consist mostly of lectures and some lab work with lab work and exercise amount increasing toward the end. Lab work will be conducted in learning groups of around 20 to 25 persons.

The first 2/3 of the course will be held by Heikki Sateila, and it will focus on computers, local area networks and internet. The last third is held by Juha-Tapio Teno and is focused on cloud services and AWS.",,Open University of Applied Sciences 10 included in the total capacity. Grading done on the scale 0 - 5. Details will be provided on the first lectures.,0-5,School of Business,0.0,3.0,20.0,110.0
HTGP0250-3003,3D Animation,5.0,Realization,"Objectives (goals):
The main objective is to have an understanding of the principles of three-dimensional animation. The student can who completes the course can determine the best animating techniques to achieve specific motions and gestures. The student learns to replicate various movements and apply it onto a prefabricated model using an armature rig and transfer the end results to a game engine. Basically, to understand the animation pipeline as a whole.

The student will learn the basic structures of animation pipeline, the relationship between the mesh and armature and how to use an 3D animation program to transfer animations to other programs.

Learning outcomes:
After completing this course you should be equipped to work as an animator for projects involving animated assets, such as games.

Course competences:
Cross-disciplinary competence in games
Game production competence","The primary mode of delivery is a combination of in-class activities on campus and on-line lectures. The lectures will be recorded to support opportunities for 24/7 learning. The in-class activities deepen the learning in the forms of tutorials, individual and group works, reflection and guidance. However, if the COVID-19 or other similar situation requires the learning will be supported by on-line tutorials and activities.

A blended model:
- The course can also contain project based learning, learning tasks, knowledge tests, topic specific focus teaching, database use for challenges/problems/tutorials (problem based learning)","Have you ever wanted to create your own 3D animated characters or animations for different projects?

Do you aspire to unravel the secrets of movement? During the 3D animation course you develop the skills to add motion to a vast array of different models.

This course focuses on learning the basic concepts related to 3D animation: Armature design and creation, bone hierarchy, rigging, skinning, animation timeline, keyframe animation, actions, forward and inverse kinematics, motion graphs, animators / drivers (state controllers), constraints, animation blending, exporting/importing to game engine, and game engine animation related features.","Public learning materials:
- Blender Animation manual: https://docs.blender.org/manual/en/latest/animation/index.html
- Unity Animation manual: https://docs.unity3d.com/Manual/AnimationSection.html
- Unity 3D animation systems: https://learn.unity.com/course/introduction-to-3d-animation-systems
- Unity manual: https://docs.unity3d.com/Manual/index.html

Other learning material:
- Databases in the learning environment
- Materials in the learning environment

Practicalities and used tools:
- C# (or C++) as the programming language
- Visual Studio (or similar) as the IDE
- Unity (or Unreal Engine) as the Game Engine
- Blender 3D as the 3D animation application
- Git as the Version Control System (GitHub as the location)
- Extra reading materials can be found from the web and Books24x7
- Tutorial materials can be found from the web and YouTube
- Zoom is used for lectures
- Teams and email are used for official communication
- DiscordApp / WhatsApp / other comms are used for questions, answers and discussions
- All the sessions are recorded and the links are added to the workspace",Both,"You need to posses modeling and texturing skills as well as game engine basics, and therefore this course is not for you are not familiar with modern game development tools and art production.

Sufficient skills in the 3D modeling software, the game engine, and other related tools.",The course might have visiting lecturers and possibly an excursion (virtual or physical).,"There is no exam on this course. Every student reserves a 30 min evaluation slot where they will show the task and project results (portfolio) to verify the skills and knowledge required to pass the course. The evaluation will be carried out with 1-on-1 conversations together with the course teacher. The reservation of the evaluation slots will be made possible through the learning platform.

During the last 2-3 weeks after classes will be reserved for the 1-on-1 evaluations. Students can use this time to make games in voluntary game projects.",,"One credit corresponds to an average of 27 hours of work, which means that the load of five credits is approximately 135 hours. The load is distributed roughly the following way:
- Lectures: ~28h
- In-class activities: ~30h
- Tasks (weekly and other), module projects and lecture preparations: ~50h
- End task / portfolio preparations: ~27h","General scheduling:
- 2 hours per week for mandatory lectures (virtual)
- 2 hours per week for mandatory in-class activities (demo lectures)",This course is focused for the degree students but it can be included in various study modules (like diplomas or any other life-long-learning modules).,"Avoin amk 2
EduFutura 3",0-5,School of Business,2.0,3.0,20.0,35.0
ZZPC0220-3213,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","THIS IMPLEMENTATION IS FULL
This course is a contact implementation that requires weekly attendance. The course starts on Mon  15th Jan.

 This is the right course for you if you learn by weekly, face-to-face interaction with others and are able to come to the Rajakatu campus.
This is not the right course for you if you cannot come weekly to the Rajakatu campus and/or you have another course at the same time. 
In addition, there are written and oral learning assignments. There is an exam at the end of the course. 

The topics of the course are as follows:
- studies 
-looking for employment
- communication in working life
- professional writing
- field-specific terminology
- presentations","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions","Teacher's material
Moodle
Students also need to search for information and material relevant to their field of studies.",Contact,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,Exam at the end of the course. Resit exams in May - June 2024.,,"contact lessons ~ 35 h
study material, assignments 40 - 60 h
exam preparation 10 - 15 h

108 hours in total (~7-8 h / week).",,,"The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf). 
There is a written exam and assignments or projects during the course that contribute to the mark.",0-5,TA94 - Kielikeskus,0.0,4.0,12.0,30.0
ZZPC0220-3225,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","Update on 20NOV2023: This implementation is full. Please find another one. Thank you.
----
Online implementation between 15 January - 2 April 2024

Kick-off webinar on Zoom on Tue 16 January at 8:30 - 9:30am. Attending it is highly recommended; alternatively watch its recording within three days. The address to the Zoom meeting is sent to the enrolled students by the webinar day.

You study mostly independently on Moodle. You need basic computing skills, web camera and microphone. 

The course is divided into four parts, and they are timetabled. It means that you need to finish each part in the given order and by the deadline for the part.

You will have both written and oral learning assignments. The oral assignments are videos. There is also one major group assignment (group discussion) and an exam at an Exam Studio. An Exam Studio can be found at most universities in Finland. Alternatively the exam can be taken in class at Jamk main campus at the end of the implementation. To be informed during the course.

The topics include:
- studies 
- work and looking for employment
- communication in working life
- professional and academic writing 
- field-specific terminology 
- presentations","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions","Teacher’s material on Moodle.
In addition, the students need to search information and material relevant to their field of study.

Extra material: any school book in English. The better if it is related to the student's own field.",Online,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,"Assignments on Moodle according to the course timetable (1-4 weeks/part). Exam in EXAM Studio. 
Two resit times after the course has ended according to the teacher's information.",,"Estimated student workload in this course:

-	Kick-off webinar, 1-2 hours
-	Familiarization with online course environment, self-study and learning assignments: ~100 hours
-	Group assignment: 5 hours


Total 108 hours (one credit equals 27 hours of student work)",,,"Lecturer's feedback on the assignments, tasks and exercises on Moodle, self-assessment, peer-assessment

The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf). If your English skills do not reach that level in most parts, it is recommended to take 'Englannin tukiopinnot' or 'Improve Your English' first.

Besides the exam, the course includes several assignments that contribute to the course grade. Not following the instructions and the given schedule may lower the mark and thus, most likely, the course grade.
	
It is necessary for the students to master basic computing skills such as making and sharing videos.",0-5,TA94 - Kielikeskus,4.0,0.0,12.0,30.0
ZZPC0220-3232,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","This implementation is FULL. Please find another one. (Updated 22NOV2023)

---------
Online implementation between 5 February - 28 April 2024

Kick-Off Webinar on Zoom on Tue 6 February at 8:30 - 9:30am. Attending it is highly recommended; alternatively watch its recording within three days. The address to the Zoom meeting is sent to the enrolled students by the webinar day.

REMINDER: Good time management skills and solid B2-level in English required (see 'Further information for students' or 'Lisätietoja' below).

You study mostly independently on Moodle. You need basic computing skills, web camera and microphone. 

The course is divided into four parts, and they are timetabled. It means that you need to finish each part in the given order and by the deadline for the part.

You will have both written and oral learning assignments. The oral assignments are videos. There is also one major group assignment (group discussion) and an exam at an Exam Studio during the last 10 days of the implementation. An Exam Studio can be found at most universities in Finland. Alternatively, the exam can be taken in class at Jamk main campus. The exact date and venue will be given during the course.

The topics include:
- studies 
- work and looking for employment
- communication in working life
- professional and academic writing 
- field-specific terminology 
- presentations","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions","Teacher’s material on Moodle.
In addition, the students need to search information and material relevant to their field of study.

Extra material: any school book in English. The better if it is related to the student's own field.",Online,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,"Assignments on Moodle according to the course timetable (about 1-4 weeks/part). 
EXAM at an Exam Studio. Alternatively, students can take the exam at a classroom at Jamk in Jyväskylä. The exact date and venue to be informed later.

Two possible resit times within 6 some weeks after the implementation has ended.",,"Estimated student workload in this course:

-	Kick-off webinar, 1-2 hours
-	Familiarization with online course environment, self-study and learning assignments: ~100 hours
-	Group assignment: 5 hours


Total 108 hours (one credit equals 27 hours of student work)",,,"Lecturer's feedback on the assignments, tasks and exercises on Moodle, self-assessment, peer-assessment

The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf). If your English skills do not reach that level in most parts, it is recommended to take 'Englannin tukiopinnot' or 'Improve Your English' first.

Besides the exam, the course includes several assignments that contribute to the course grade. Not following the instructions and the given schedule may lower the mark and thus, most likely, the course grade.
	
It is necessary for the students to master basic computing skills such as making and sharing videos.",0-5,TA94 - Kielikeskus,4.0,0.0,12.0,30.0
